ITEM,n_obs,intercepto,coef,r2,total_done_mean,delta_tempo_mean
111440,122,295.4295474307788,12.17569720673285,0.2188365219175965,10.524590163934427,423.57377049180326
111850,412,284.4710125967182,12.04998131050723,0.06965211434700735,7.427184466019417,373.96844660194176
108759,479,320.3379340875103,12.045153374712585,0.08525826761398769,6.663883089770355,400.6054279749478
123909,1693,209.6559704740465,11.992539081766381,0.2764922970075103,13.027761370348493,365.89190785587715
122647,1107,263.6939663225358,11.958416360540149,0.3508346311962759,22.532068654019874,533.1418247515809
123130,54,359.9043290580877,11.793679743100455,0.42787803210432673,35.25925925925926,775.7407407407408
124486,2990,230.8614649638975,11.701467845313362,0.3468942460963157,21.080602006688963,477.53545150501674
110623,173,260.1400017187909,11.665533614344636,0.08138491629917155,6.22543352601156,332.7630057803468
123561,311,209.85307332913115,11.52576560537468,0.1617185056140904,11.630225080385852,343.9003215434084
124582,127,210.3746132557976,11.524914286475472,0.4346811940501639,23.04724409448819,475.99212598425197
122671,873,214.49817586504108,11.52376142109261,0.18617488473564614,11.405498281786942,345.9324169530355
124370,1360,281.8815074692049,11.508320563161247,0.34068400352568995,20.16176470588235,513.9095588235294
181815,15,293.78109479023567,11.339163056113282,0.06148933601424722,10.866666666666667,417.0
120389,679,273.99700416521387,11.323521245531184,0.20415547585868565,15.054491899852724,444.4668630338733
107892,350,267.0788379276748,11.264965453819938,0.21065292793336077,7.714285714285714,353.98
111851,75,326.4641580619539,11.258042096902308,0.0032084521614659245,3.2133333333333334,362.64
122185,829,223.93103449994175,11.238826274506753,0.4423140999674072,23.542822677925212,488.52472858866105
160053,106,328.92544039802146,11.216590012823854,0.02945707700458433,5.745283018867925,393.3679245283019
100334,967,311.2290499654374,11.209290659942567,0.03388015131233002,6.445708376421924,383.48086866597725
117289,38,408.4218435110841,11.153282044720257,0.06458207448056152,8.578947368421053,504.10526315789474
105470,27,157.0143198090692,11.126491646778051,0.009090894666119342,2.814814814814815,188.33333333333334
124248,1300,222.45563195180324,11.117936871968675,0.3229169300148267,17.88230769230769,421.27
124511,29,247.10956011730212,11.06731964809384,0.25154488761356975,43.44827586206897,727.9655172413793
141048,44,118.7253227408143,10.975217919011364,0.0741124023041948,6.340909090909091,188.3181818181818
117822,569,193.46008068716742,10.927806402562316,0.08293292798624519,8.369068541300527,284.9156414762742
122962,4133,258.68778211511034,10.870110247499424,0.30286952698738234,26.657391725139124,548.4565690781515
108770,513,335.9832163043046,10.82865258943242,0.06646489725224891,7.103313840155946,412.9025341130604
123822,775,338.13513878404086,10.822705932877163,0.37517999598034635,30.82709677419355,671.7677419354839
123560,137,340.41975362998846,10.796726559340886,0.23843367270404303,11.832116788321168,468.1678832116788
124264,353,308.4500488386794,10.755324110781567,0.3727652719819492,27.206798866855525,601.0679886685552
117835,425,294.18421388063535,10.46848396666544,0.02479391540308451,6.442352941176471,361.6258823529412
111660,452,292.64337845124135,10.384401897364793,0.18178033195802146,9.95796460176991,396.0508849557522
123492,206,383.99505824783415,10.22799810036294,0.16517531747781844,15.330097087378642,540.7912621359224
110755,932,278.1008666074955,10.213099393871897,0.12424284718539846,9.697424892703863,377.14163090128756
123343,1651,323.68175940875506,10.197368040676839,0.08599432855180256,9.293761356753484,418.4536644457904
122982,606,205.6239272387755,10.135621078222098,0.18593136872352378,14.161716171617162,349.1617161716172
123390,14,509.30801687763704,10.062085593731165,0.11971251881579026,21.5,725.6428571428571
123081,107,366.9331930933753,10.056877717044737,0.14212697955517306,17.934579439252335,547.2990654205607
181280,37,536.0915271966527,9.979602510460259,0.00154008148855167,3.1621621621621623,567.6486486486486
109974,117,435.19753644549587,9.968855667166237,0.005265453136966469,3.5982905982905984,471.0683760683761
118280,69,301.28888476260727,9.968002957294686,0.11475096341404556,14.46376811594203,445.463768115942
124725,38,331.47221676370356,9.938059225239693,0.15236233170437508,11.447368421052632,445.2368421052632
111737,30,629.9568793004194,9.897831629156503,0.037907029539250514,13.933333333333334,767.8666666666667
124592,10,162.2433031449425,9.887271198746609,0.610649968005542,19.9,359.0
111433,718,202.42616737847453,9.878003215810399,0.14064007686611169,8.584958217270195,287.2284122562674
122988,363,232.36909057159278,9.867052857896706,0.11665222460735869,9.179063360881543,322.93939393939394
118271,52,278.0597863756731,9.851668532769358,0.10224994921377795,11.423076923076923,390.59615384615387
111436,80,393.32743457393474,9.845802372684629,0.06902928697928912,9.6625,488.4625
118250,112,394.6461675604122,9.74422624641499,0.18816061020367258,10.625,498.17857142857144
141155,66,425.1181661175,9.696084903714102,0.06097430240949864,11.606060606060606,537.6515151515151
109648,210,240.61538000160192,9.66874172259446,0.03249273359540161,6.357142857142857,302.0809523809524
109495,44,220.42331599644805,9.534568057845998,0.004487943169049657,3.2045454545454546,250.97727272727272
111763,27,134.25239803478127,9.46755829369102,0.08404913828050986,4.925925925925926,180.88888888888889
124484,79,240.133667660461,9.337688469981208,0.45559998124110657,24.531645569620252,469.2025316455696
117837,674,227.70931780188334,9.32299465513816,0.10245074866088089,8.382789317507418,305.8620178041543
118317,1051,206.45513896727215,9.316838900792131,0.11467272117616323,9.845861084681255,298.18744053282586
110063,78,264.9576934387303,9.197105825656061,0.023552583566724627,3.9871794871794872,301.62820512820514
111431,497,168.49106596188065,9.053972179455746,0.08649369111459893,6.782696177062374,229.90140845070422
141370,13,173.0,8.799999999999995,0.010153740755531993,3.076923076923077,200.07692307692307
110753,212,224.89036334046003,8.718545488127662,0.3072320262432836,8.81132075471698,301.7122641509434
110332,150,275.595316705237,8.71473386474672,0.025898497935845755,6.2,329.62666666666667
117797,65,359.66586153772664,8.704119592996872,0.03464275551521545,6.046153846153846,412.2923076923077
123947,116,386.4150692475099,8.578982164414734,0.1368248458837762,15.482758620689655,519.2413793103449
141140,77,363.7239183343553,8.49770759887512,0.15714425974897417,15.532467532467532,495.7142857142857
123948,16,541.3871623224663,8.473639614630057,0.514299451700479,51.4375,977.25
111441,1270,387.00896741544716,8.426493080993438,0.11625499514706328,11.621259842519684,484.93543307086617
160051,375,230.27798564182046,8.380219544886664,0.0524323980405883,7.474666666666667,292.9173333333333
110742,696,340.6026075546481,8.350213895226108,0.07384711824130619,7.625,404.27298850574715
117965,120,253.8169425570885,8.3078137758042,0.046057675819640265,8.283333333333333,322.6333333333333
123911,72,370.7418272481972,8.16815028824329,0.2284229121834067,21.11111111111111,543.1805555555555
111434,103,280.51819376298533,8.165467717474412,0.27366351715444903,15.174757281553399,404.4271844660194
122195,26,544.7293688516994,8.13015530458499,0.10814960936183182,18.923076923076923,698.5769230769231
117853,820,240.45300227443437,7.9671148769337385,0.06882504317932725,8.175609756097561,305.5890243902439
124624,463,366.2821940566819,7.8131399771757195,0.13706746572701523,14.028077753779698,475.8855291576674
